id,orden_id,tipo,tecnico_id,at,meta,payload,created_at,cierre_token
f85e8c83-1910-4aaa-a284-7af95e287526,68eddf51-0770-4d6b-b449-383972479e40,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-24 23:53:15.650818+00,{},"{""codigo"": ""TEC-AUD-250924185117"", ""estado"": ""cerrada"", ""fuente"": ""backfill""}",2025-09-24 23:51:17.55305+00,
92818407-07bc-4f2d-8d12-b3f28751670c,68eddf51-0770-4d6b-b449-383972479e40,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-24 23:53:15.657889+00,{},"{""codigo"": ""TEC-AUD-250924185117"", ""estado"": ""cerrada"", ""fuente"": ""backfill"", ""cierre_token"": null}",2025-09-24 23:51:17.596036+00,
09bf7910-0706-4c1b-a158-023c172f1d0a,2f4985ae-1f2e-4539-b5c0-39787b8c1d00,cerrar,,2025-09-22 19:54:47.723887+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-22 19:54:47.723887+00,
a4c0e63f-4d3c-4523-a532-4f3f5c22745c,c83413b2-2dee-44d3-9d3c-db14ba2e51b3,cerrar,,2025-09-22 20:24:00.840246+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-22 20:24:00.840246+00,
73b93fba-d809-447f-a5ef-4a96dbcf15f2,a307ed63-b463-4fe5-9c2e-d863721bb684,cerrar,,2025-09-22 20:24:00.864382+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-22 20:24:00.864382+00,
5a6e17b4-7506-49a0-9af1-187fef10b832,37cd98db-accd-462d-88a6-9561d2e30055,cerrar,,2025-09-22 20:26:51.799769+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-22 20:26:51.799769+00,
fe625951-67ad-44c3-9a5b-d3d19a87e85f,9a151fb6-fddd-478d-968f-76087f108bc0,cerrar,,2025-09-22 20:26:51.820687+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-22 20:26:51.820687+00,
3bdfa906-165c-4477-97bd-5c3ea0862c12,edc4f291-5dfe-469c-bab8-de1cd4ee3a05,cerrar,,2025-09-24 19:08:39.887404+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-24 19:08:39.887404+00,
c740a714-2c8d-4b25-ba3d-07551e1ac00c,1623cbef-6b85-4e75-8045-e552b06bb2fd,cerrar,,2025-09-24 19:08:40.239637+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-24 19:08:40.239637+00,
f86cee06-7f51-4fb0-93db-e4da6b5286ba,994d3a3b-1537-437a-aecc-1127150f8013,cerrar,,2025-09-24 19:09:13.238605+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-24 19:09:13.238605+00,
f599353f-bc19-4df1-83c3-73a87c695293,0f6a0aac-ac51-4db4-a789-2a2a66b70c76,cerrar,,2025-09-24 19:13:27.151173+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-24 19:13:27.151173+00,
84432ea6-8c60-46d7-82f9-11a2dffbb926,06615d83-f200-4b27-b2da-08ea18b2d9c4,cerrar,,2025-09-24 19:13:27.492929+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-24 19:13:27.492929+00,
2e99b696-ebd3-438c-b3fe-f54d4f0c2298,51819613-0e5c-49fa-ab90-eccc3be42630,cerrar,,2025-09-24 19:33:29.767219+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-24 19:33:29.767219+00,
ebf5d649-536b-412c-a9b6-7af729c87914,be05d63f-efef-48e6-b95d-48986ca83676,cerrar,,2025-09-24 19:38:49.496697+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-24 19:38:49.496697+00,
dac8df62-d645-412f-8aa4-b019e930ba1b,104aeea8-9d42-4fd5-a2fc-5c857d3256d9,cerrar,,2025-09-24 19:40:31.501693+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-24 19:40:31.501693+00,
38eef871-fce8-4af9-bf81-5a52266440fb,44e7e26e-00bf-47de-9815-28d8e8f8f2da,cerrar,,2025-09-24 19:54:09.781191+00,"{""fuente"": ""backfill""}","{""fuente"": ""backfill""}",2025-09-24 19:54:09.781191+00,
