isp-api  | [RES] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes -> 200 4.8ms rid=2a46ea48-6fae-45bd-87a5-0b01e478f783
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919181338/iniciar rid=df212d72-7728-4e2b-8bda-66bc42efba23
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919181338/iniciar -> 200 5.4ms rid=df212d72-7728-4e2b-8bda-66bc42efba23
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919181338/cerrar rid=5f5d313c-3781-49a3-be6d-8384d10da5ff
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919181338/cerrar -> 200 6.0ms rid=5f5d313c-3781-49a3-be6d-8384d10da5ff
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/IDEM-20250919231340/cerrar rid=082d98ab-902a-47ae-b370-08b6563a5371
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/IDEM-20250919231340/cerrar -> 403 1.5ms rid=082d98ab-902a-47ae-b370-08b6563a5371
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/IDEM-20250919231340/cerrar rid=eeae5330-7ef5-4c5a-a9ec-6df7049e1ec7
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/IDEM-20250919231340/cerrar -> 403 0.9ms rid=eeae5330-7ef5-4c5a-a9ec-6df7049e1ec7
isp-api  | [REQ] GET /v1/catalogos/motivos-reagenda rid=b446a4b4-ece6-47b7-8153-6117c54c8fec
isp-api  | [RES] GET /v1/catalogos/motivos-reagenda -> 200 2.6ms rid=b446a4b4-ece6-47b7-8153-6117c54c8fec
isp-api  | [REQ] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true rid=e8048b4f-9be4-4673-b9ec-41ab01f7e1dc
isp-api  | [RES] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true -> 200 2.0ms rid=e8048b4f-9be4-4673-b9ec-41ab01f7e1dc
isp-api  | [REQ] GET /v1/catalogos/motivos-reagenda rid=793270c2-41b7-4ddc-968d-0333eb61f764
isp-api  | [RES] GET /v1/catalogos/motivos-reagenda -> 200 2.8ms rid=793270c2-41b7-4ddc-968d-0333eb61f764
isp-api  | [REQ] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true rid=148df000-98e0-4181-bcfa-778c8052b7fc
isp-api  | [RES] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true -> 200 2.1ms rid=148df000-98e0-4181-bcfa-778c8052b7fc
isp-api  | [REQ] GET /v1/admin/catalogos/motivos_reagenda/items rid=dd9220a3-5058-4f26-af98-ae4a17796028
isp-api  | [RES] GET /v1/admin/catalogos/motivos_reagenda/items -> 200 4.4ms rid=dd9220a3-5058-4f26-af98-ae4a17796028
